parameter_id,dataset_id,section,name,value,unit,evidence_type,source_id,source_blob_sha1,uncertainty,validity_domain,note
AE_LFP.Cell.Ambient temperature [K],AE_LFP,Cell,Ambient temperature [K],298.15,K,mixed_not_resolved,S01,bc4aa47b2747ccad2088b9b7cd7baf58298799d5,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_LFP.Cell.Initial temperature [K],AE_LFP,Cell,Initial temperature [K],298.15,K,mixed_not_resolved,S01,bc4aa47b2747ccad2088b9b7cd7baf58298799d5,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_LFP.Cell.Reference temperature [K],AE_LFP,Cell,Reference temperature [K],298.15,K,mixed_not_resolved,S01,bc4aa47b2747ccad2088b9b7cd7baf58298799d5,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_LFP.Cell.Lower voltage cut-off [V],AE_LFP,Cell,Lower voltage cut-off [V],2.0,V,mixed_not_resolved,S01,bc4aa47b2747ccad2088b9b7cd7baf58298799d5,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_LFP.Cell.Upper voltage cut-off [V],AE_LFP,Cell,Upper voltage cut-off [V],3.65,V,mixed_not_resolved,S01,bc4aa47b2747ccad2088b9b7cd7baf58298799d5,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_LFP.Cell.Nominal cell capacity [A.h],AE_LFP,Cell,Nominal cell capacity [A.h],2,A.h,mixed_not_resolved,S01,bc4aa47b2747ccad2088b9b7cd7baf58298799d5,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_LFP.Cell.Specific heat capacity [J.K-1.kg-1],AE_LFP,Cell,Specific heat capacity [J.K-1.kg-1],999,J.K-1.kg-1,estimated,S01,bc4aa47b2747ccad2088b9b7cd7baf58298799d5,,,Source header says other thermal properties are estimated.
AE_LFP.Cell.Thermal conductivity [W.m-1.K-1],AE_LFP,Cell,Thermal conductivity [W.m-1.K-1],1.89,W.m-1.K-1,estimated,S01,bc4aa47b2747ccad2088b9b7cd7baf58298799d5,,,Source header says other thermal properties are estimated.
AE_LFP.Cell.Density [kg.m-3],AE_LFP,Cell,Density [kg.m-3],1940,kg.m-3,estimated,S01,bc4aa47b2747ccad2088b9b7cd7baf58298799d5,,,Source header says other thermal properties are estimated.
AE_LFP.Cell.Electrode area [m2],AE_LFP,Cell,Electrode area [m2],0.08959998,m2,mixed_not_resolved,S01,bc4aa47b2747ccad2088b9b7cd7baf58298799d5,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_LFP.Cell.Number of electrode pairs connected in parallel to make a cell,AE_LFP,Cell,Number of electrode pairs connected in parallel to make a cell,1,,mixed_not_resolved,S01,bc4aa47b2747ccad2088b9b7cd7baf58298799d5,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_LFP.Cell.External surface area [m2],AE_LFP,Cell,External surface area [m2],0.00431,m2,mixed_not_resolved,S01,bc4aa47b2747ccad2088b9b7cd7baf58298799d5,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_LFP.Cell.Volume [m3],AE_LFP,Cell,Volume [m3],1.7e-05,m3,mixed_not_resolved,S01,bc4aa47b2747ccad2088b9b7cd7baf58298799d5,,,Source supplies no per-parameter uncertainty; do not interpret decimals as accuracy.
AE_LFP.Electrolyte.Initial concentration [mol.m-3],AE_LFP,Electrolyte,Initial concentration [mol.m-3],1000,mol.m-3,literature,S01,bc4aa47b2747ccad2088b9b7cd7baf58298799d5,,,Electrolyte/separator informed by literature; exact per-entry provenance not fully resolved.
AE_LFP.Electrolyte.Cation transference number,AE_LFP,Electrolyte,Cation transference number,0.259,,literature,S01,bc4aa47b2747ccad2088b9b7cd7baf58298799d5,,,Electrolyte/separator informed by literature; exact per-entry provenance not fully resolved.
AE_LFP.Electrolyte.Conductivity [S.m-1],AE_LFP,Electrolyte,Conductivity [S.m-1],0.1297 * (x / 1000) ** 3 - 2.51 * (x / 1000) ** 1.5 + 3.329 * (x / 1000),S.m-1,literature,S01,bc4aa47b2747ccad2088b9b7cd7baf58298799d5,,,Electrolyte/separator informed by literature; exact per-entry provenance not fully resolved.
