time_s,target_speed_mph,target_speed_m_s,data_kind,source_id
0,0.0,0.0,prescribed_speed_not_measured_current,S18
1,0.0,0.0,prescribed_speed_not_measured_current,S18
2,0.0,0.0,prescribed_speed_not_measured_current,S18
3,0.0,0.0,prescribed_speed_not_measured_current,S18
4,0.0,0.0,prescribed_speed_not_measured_current,S18
5,0.0,0.0,prescribed_speed_not_measured_current,S18
6,0.2,0.089408,prescribed_speed_not_measured_current,S18
7,0.7,0.312928,prescribed_speed_not_measured_current,S18
8,1.1,0.491744,prescribed_speed_not_measured_current,S18
9,1.7,0.759968,prescribed_speed_not_measured_current,S18
10,6.0,2.68224,prescribed_speed_not_measured_current,S18
11,13.9,6.213856,prescribed_speed_not_measured_current,S18
12,20.5,9.16432,prescribed_speed_not_measured_current,S18
13,25.7,11.488928,prescribed_speed_not_measured_current,S18
14,25.0,11.176,prescribed_speed_not_measured_current,S18
15,28.4,12.695936,prescribed_speed_not_measured_current,S18
16,32.3,14.439391999999998,prescribed_speed_not_measured_current,S18
17,34.6,15.467584,prescribed_speed_not_measured_current,S18
18,36.5,16.316959999999998,prescribed_speed_not_measured_current,S18
19,38.4,17.166335999999998,prescribed_speed_not_measured_current,S18
20,39.9,17.836896,prescribed_speed_not_measured_current,S18
21,42.2,18.865088,prescribed_speed_not_measured_current,S18
22,43.8,19.580351999999998,prescribed_speed_not_measured_current,S18
23,44.2,19.759168000000003,prescribed_speed_not_measured_current,S18
24,43.4,19.401536,prescribed_speed_not_measured_current,S18
25,42.6,19.043904,prescribed_speed_not_measured_current,S18
26,40.3,18.015711999999997,prescribed_speed_not_measured_current,S18
27,39.2,17.523968,prescribed_speed_not_measured_current,S18
28,38.4,17.166335999999998,prescribed_speed_not_measured_current,S18
29,38.4,17.166335999999998,prescribed_speed_not_measured_current,S18
30,39.2,17.523968,prescribed_speed_not_measured_current,S18
31,38.8,17.345152,prescribed_speed_not_measured_current,S18
32,38.8,17.345152,prescribed_speed_not_measured_current,S18
33,36.5,16.316959999999998,prescribed_speed_not_measured_current,S18
34,32.3,14.439391999999998,prescribed_speed_not_measured_current,S18
35,27.6,12.338304,prescribed_speed_not_measured_current,S18
36,22.3,9.968992,prescribed_speed_not_measured_current,S18
37,17.3,7.733792,prescribed_speed_not_measured_current,S18
38,11.5,5.14096,prescribed_speed_not_measured_current,S18
39,5.8,2.592832,prescribed_speed_not_measured_current,S18
40,1.2,0.5364479999999999,prescribed_speed_not_measured_current,S18
41,0.0,0.0,prescribed_speed_not_measured_current,S18
42,0.0,0.0,prescribed_speed_not_measured_current,S18
43,0.0,0.0,prescribed_speed_not_measured_current,S18
44,0.0,0.0,prescribed_speed_not_measured_current,S18
45,0.0,0.0,prescribed_speed_not_measured_current,S18
46,0.0,0.0,prescribed_speed_not_measured_current,S18
47,0.0,0.0,prescribed_speed_not_measured_current,S18
